device,label,label_name,split,duplicate_groups,rows,target_ratio,actual_ratio,difference_from_target
Danmini_Doorbell,0,benign,train,31633,34684,0.70000000,0.70000807,0.00000807
Danmini_Doorbell,0,benign,validation,4380,7432,0.15000000,0.14999596,-0.00000404
Danmini_Doorbell,0,benign,test,4382,7432,0.15000000,0.14999596,-0.00000404
Danmini_Doorbell,1,attack,train,673923,678125,0.70000000,0.70000000,0.00000000
Danmini_Doorbell,1,attack,validation,141111,145313,0.15000000,0.15000052,0.00000052
Danmini_Doorbell,1,attack,test,141110,145312,0.15000000,0.14999948,-0.00000052
Ecobee_Thermostat,0,benign,train,9178,9179,0.70000000,0.69999237,-0.00000763
Ecobee_Thermostat,0,benign,validation,1966,1967,0.15000000,0.15000381,0.00000381
Ecobee_Thermostat,0,benign,test,1967,1967,0.15000000,0.15000381,0.00000381
Ecobee_Thermostat,1,attack,train,571687,575934,0.70000000,0.69999988,-0.00000012
Ecobee_Thermostat,1,attack,validation,119168,123415,0.15000000,0.15000067,0.00000067
Ecobee_Thermostat,1,attack,test,119168,123414,0.15000000,0.14999945,-0.00000055
Ennio_Doorbell,0,benign,train,26141,27370,0.70000000,0.70000000,0.00000000
Ennio_Doorbell,0,benign,validation,4632,5865,0.15000000,0.15000000,0.00000000
Ennio_Doorbell,0,benign,test,4637,5865,0.15000000,0.15000000,0.00000000
Ennio_Doorbell,1,attack,train,217076,221480,0.70000000,0.70000000,0.00000000
Ennio_Doorbell,1,attack,validation,43056,47460,0.15000000,0.15000000,0.00000000
Ennio_Doorbell,1,attack,test,43057,47460,0.15000000,0.15000000,0.00000000
Philips_B120N10_Baby_Monitor,0,benign,train,119301,122668,0.70000000,0.70000000,0.00000000
Philips_B120N10_Baby_Monitor,0,benign,validation,22920,26286,0.15000000,0.15000000,0.00000000
Philips_B120N10_Baby_Monitor,0,benign,test,22920,26286,0.15000000,0.15000000,0.00000000
Philips_B120N10_Baby_Monitor,1,attack,train,642192,646406,0.70000000,0.70000011,0.00000011
Philips_B120N10_Baby_Monitor,1,attack,validation,134302,138516,0.15000000,0.15000049,0.00000049
Philips_B120N10_Baby_Monitor,1,attack,test,134301,138515,0.15000000,0.14999940,-0.00000060
Provision_PT_737E_Security_Camera,0,benign,train,41179,43508,0.70000000,0.70000322,0.00000322
Provision_PT_737E_Security_Camera,0,benign,validation,6995,9323,0.15000000,0.14999839,-0.00000161
Provision_PT_737E_Security_Camera,0,benign,test,6995,9323,0.15000000,0.14999839,-0.00000161
Provision_PT_737E_Security_Camera,1,attack,train,531794,536274,0.70000000,0.69999974,-0.00000026
Provision_PT_737E_Security_Camera,1,attack,validation,110436,114916,0.15000000,0.15000013,0.00000013
Provision_PT_737E_Security_Camera,1,attack,test,110437,114916,0.15000000,0.15000013,0.00000013
Provision_PT_838_Security_Camera,0,benign,train,67453,68960,0.70000000,0.70000203,0.00000203
Provision_PT_838_Security_Camera,0,benign,validation,13271,14777,0.15000000,0.14999898,-0.00000102
Provision_PT_838_Security_Camera,0,benign,test,13271,14777,0.15000000,0.14999898,-0.00000102
Provision_PT_838_Security_Camera,1,attack,train,512754,516864,0.70000000,0.70000014,0.00000014
Provision_PT_838_Security_Camera,1,attack,validation,106647,110757,0.15000000,0.15000061,0.00000061
Provision_PT_838_Security_Camera,1,attack,test,106646,110756,0.15000000,0.14999926,-0.00000074
Samsung_SNH_1011_N_Webcam,0,benign,train,35641,36505,0.70000000,0.70000000,0.00000000
Samsung_SNH_1011_N_Webcam,0,benign,validation,6959,7823,0.15000000,0.15000959,0.00000959
Samsung_SNH_1011_N_Webcam,0,benign,test,6959,7822,0.15000000,0.14999041,-0.00000959
Samsung_SNH_1011_N_Webcam,1,attack,train,221729,226150,0.70000000,0.69999876,-0.00000124
Samsung_SNH_1011_N_Webcam,1,attack,validation,44040,48461,0.15000000,0.15000062,0.00000062
Samsung_SNH_1011_N_Webcam,1,attack,test,44040,48461,0.15000000,0.15000062,0.00000062
SimpleHome_XCS7_1002_WHT_Security_Camera,0,benign,train,31342,32609,0.70000000,0.69998927,-0.00001073
SimpleHome_XCS7_1002_WHT_Security_Camera,0,benign,validation,5721,6988,0.15000000,0.15000537,0.00000537
SimpleHome_XCS7_1002_WHT_Security_Camera,0,benign,test,5721,6988,0.15000000,0.15000537,0.00000537
SimpleHome_XCS7_1002_WHT_Security_Camera,1,attack,train,567460,571530,0.70000000,0.70000037,0.00000037
SimpleHome_XCS7_1002_WHT_Security_Camera,1,attack,validation,118402,122471,0.15000000,0.15000043,0.00000043
SimpleHome_XCS7_1002_WHT_Security_Camera,1,attack,test,118401,122470,0.15000000,0.14999920,-0.00000080
SimpleHome_XCS7_1003_WHT_Security_Camera,0,benign,train,13138,13670,0.70000000,0.70002048,0.00002048
SimpleHome_XCS7_1003_WHT_Security_Camera,0,benign,validation,2399,2929,0.15000000,0.14998976,-0.00001024
SimpleHome_XCS7_1003_WHT_Security_Camera,0,benign,test,2399,2929,0.15000000,0.14998976,-0.00001024
SimpleHome_XCS7_1003_WHT_Security_Camera,1,attack,train,577605,581908,0.70000000,0.69999928,-0.00000072
SimpleHome_XCS7_1003_WHT_Security_Camera,1,attack,validation,120392,124695,0.15000000,0.15000036,0.00000036
SimpleHome_XCS7_1003_WHT_Security_Camera,1,attack,test,120393,124695,0.15000000,0.15000036,0.00000036
