source_index,source_file,index_file,row_count,train_rows,validation_rows,test_rows
1,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\gafgyt_attacks\combo.csv,source_001.npy,59718,42473,8549,8696
2,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\gafgyt_attacks\junk.csv,source_002.npy,29068,20741,4188,4139
3,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\gafgyt_attacks\scan.csv,source_003.npy,29849,21237,4278,4334
4,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\gafgyt_attacks\tcp.csv,source_004.npy,92141,60136,15996,16009
5,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\gafgyt_attacks\udp.csv,source_005.npy,105874,70680,17471,17723
6,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\mirai_attacks\ack.csv,source_006.npy,102195,72503,14878,14814
7,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\mirai_attacks\scan.csv,source_007.npy,107685,76553,15702,15430
8,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\mirai_attacks\syn.csv,source_008.npy,122573,87079,17691,17803
9,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\mirai_attacks\udp.csv,source_009.npy,237665,168473,34693,34499
10,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Danmini_Doorbell\mirai_attacks\udpplain.csv,source_010.npy,81982,58250,11867,11865
11,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\gafgyt_attacks\combo.csv,source_011.npy,53012,37690,7572,7750
12,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\gafgyt_attacks\junk.csv,source_012.npy,30312,21528,4447,4337
13,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\gafgyt_attacks\scan.csv,source_013.npy,27494,19575,3976,3943
14,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\gafgyt_attacks\tcp.csv,source_014.npy,95021,62370,16372,16279
15,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\gafgyt_attacks\udp.csv,source_015.npy,104791,70495,17051,17245
16,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\mirai_attacks\ack.csv,source_016.npy,113285,80573,16227,16485
17,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\mirai_attacks\scan.csv,source_017.npy,43192,30685,6288,6219
18,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\mirai_attacks\syn.csv,source_018.npy,116807,82990,16979,16838
19,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\mirai_attacks\udp.csv,source_019.npy,151481,107763,21828,21890
20,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ecobee_Thermostat\mirai_attacks\udpplain.csv,source_020.npy,87368,62265,12675,12428
21,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ennio_Doorbell\gafgyt_attacks\combo.csv,source_021.npy,53014,38892,6963,7159
22,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ennio_Doorbell\gafgyt_attacks\junk.csv,source_022.npy,29797,21715,4071,4011
23,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ennio_Doorbell\gafgyt_attacks\scan.csv,source_023.npy,28120,20744,3653,3723
24,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ennio_Doorbell\gafgyt_attacks\tcp.csv,source_024.npy,101536,68355,16513,16668
25,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Ennio_Doorbell\gafgyt_attacks\udp.csv,source_025.npy,103933,71774,16260,15899
26,D:\federated-iot-temp\nbaiot_duplicate_8f_7x_ma\attack_extract\Philips_B120N10_Baby_Monitor\gafgyt_attacks\combo.csv,source_026.npy,58152,41195,8482,8475
